Codigo;Descriooo do CID;Cidade;Localidade;Quant.;%
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;NOVA SANTA MARTA;29;8,55 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;URLANDIA;23;6,78 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;ALTO DA BOA VISTA;22;6,49 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;SALGADO FILHO;19;5,60 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;NOAL;15;4,42 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PINHEIRO MACHADO;15;4,42 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;JUSCELINO KUBITSCHEK;13;3,83 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;TANCREDO NEVES;13;3,83 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;DIVINA PROVIDENCIA;12;3,54 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;DIACONO JOAO LUIZ POZZOBON;11;3,24 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;CENTRO;10;2,95 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PASSO D'AREIA;9;2,65 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;LORENZI;8;2,36 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PARQUE PINHEIRO MACHADO;7;2,06 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;CAROLINA;7;2,06 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;CAMOBI;6;1,77 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;POR DO SOL;5;1,47 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;CATURRITA;5;1,47 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;SANTOS;4;1,18 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;SANTA MARTA;4;1,18 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;CIPRIANO DA ROCHA;4;1,18 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;DOM ANTONIO REIS;3;0,88 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;NOAL ARCO IRIS;3;0,88 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;NOSSA SENHORA DO ROSARIO;3;0,88 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;SAO JOAO;3;0,88 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;CHACARA DAS FLORES;3;0,88 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;NOSSA SENHORA MEDIANEIRA;3;0,88 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;BOI  MORTO;3;0,88 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PATRONATO;3;0,88 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PASSO DAS TROPAS;3;0,88 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;BONFIM;2;0,59 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;VILA OLIVEIRA;2;0,59 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;NOSSA SENHORA DE FATIMA;2;0,59 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;DORES;2;0,59 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;RESIDENCIAL LOPES;2;0,59 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;SAO JOSE;2;0,59 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;VILA CAUDURO;2;0,59 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;POR DO SOL - NOVA STA MARTA;2;0,59 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;NOSSA SENHORA DE LOURDES;2;0,59 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;RENASCEN A;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;ROSSI;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;SALGADO DO FILHO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;SANTA  MARTA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;SANTO ANTAO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;SAO JOAO BATISTA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;SAO JOSE FARROUPILHA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;STA MARTA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;TANCREDO  NEVES;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;T NEVES;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;TOMAZETTI;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;UGLIONE;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;URLADIA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;VILA PRADO - JK;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;V VIDEIRA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;ALTODA BOA VISTA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;ARCO IRES;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;ARROIO GRANDE 4 DISTRITO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;BAIRRO URLANDIA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;CAMOBI CASA DO ESTUDANTE;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;CENTR0;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;COHAB TANCREDO NEVE;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;DIACONO JAO LUIZ POZZOBON;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;ITARARE;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;JK;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;JK JOQUEI CLUBE;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;JOAO GOULART;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;JOCELINO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;JUCELINO KUBCHEKI;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;JUCELINO  KUBISCHECK;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;JUCELIN O KUBITSCHEK;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;JUSCELINO KUBITSCHEK CARAMELO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;KM3;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;LIDIA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;LOTEAMENTO CIPRIANO DA ROCHA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;MARINGA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;MEDIANEIRA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;MINUANO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;NOSSA SENHORA DA CONCEIAAO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;NOSSA SENHORA DO ROSARIO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;NOSSA SENHORA FATIMA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;OLIVEIRA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PAQUE PINHEIRO MACHADO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PARQUE PINHEIRO MAC;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PARQUE PINHEIROMACHADO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PARQUE  PINHEIRO MACHADO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PARQUE PINHEIRO  MACHADO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PARUQE PINHEIRO MACHADO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PASSOA DAS TROPAS;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PATRONATO NATAL;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;POR DO SOL NOVA SANTA MARTA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PRADO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PRESIDENTE JOAO GOULART;1;0,29 %
Filtros:;"Data Inicial: 01/07/2023 Data Final: 24/07/2023
Cidade: SANTA MARIA - RIO GRANDE DO SUL - BRASIL
CID: DENGUE [DENGUE CLoSSICO]
";;;;
;;;;;
